Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
AAPL;111052;USD;2020;FY;2020-09-30;2020-10-30;2022-10-28;17352119000;17528214000;274515000000;-169559000000;104956000000;-38668000000;-19916000000;-18752000000;;66288000000;803000000;;67091000000;;67091000000;-9680000000;57411000000;;57411000000;57411000000
AAPL;111052;USD;2021;FY;2021-09-30;2021-10-29;2023-11-03;16391724000;16519291000;365817000000;-212981000000;152836000000;-43887000000;-21973000000;-21914000000;;108949000000;258000000;;109207000000;;109207000000;-14527000000;94680000000;;94680000000;94680000000
AAPL;111052;USD;2022;FY;2022-09-30;2022-10-28;2024-11-01;16215963000;16325819000;394328000000;-223546000000;170782000000;-51345000000;-25094000000;-26251000000;;119437000000;-334000000;;119103000000;;119103000000;-19300000000;99803000000;;99803000000;99803000000
AAPL;111052;USD;2023;FY;2023-09-30;2023-11-03;2024-11-01;15744231000;15812547000;383285000000;-214137000000;169148000000;-54847000000;-24932000000;-29915000000;;114301000000;-565000000;;113736000000;;113736000000;-16741000000;96995000000;;96995000000;96995000000
AAT;919944;USD;2019;FY;2019-12-31;2020-02-14;2022-02-11;54110949;70786132;366741000;-91967000;274774000;-161089000;-24871000;;-96205000;113685000;-54130000;-54008000;59555000;633000;60188000;;60188000;;60188000;60188000
AAT;919944;USD;2020;FY;2020-12-31;2021-02-16;2023-02-10;59806309;76119763;344573000;-79178000;265395000;-176814000;-26581000;;-108292000;88581000;-53376000;-53440000;35205000;;35205000;;35205000;;27660000;27660000
AAT;919944;USD;2021;FY;2021-12-31;2022-02-11;2024-02-14;59990343;76171880;375828000;-86980000;288848000;-188979000;-29879000;;-116306000;99869000;-59569000;-58587000;40300000;-4271000;36029000;;36029000;;28376000;28376000
AAT;919944;USD;2022;FY;2022-12-31;2023-02-10;2024-02-14;76230507;76230507;422648000;-107645000;315003000;-200269000;-32143000;;-123338000;114734000;-59505000;-58232000;55229000;;55229000;;55229000;;43506000;43506000
AAT;919944;USD;2023;FY;2023-12-31;2024-02-14;2024-02-14;60158976;76340513;441164000;-118801000;322363000;-200616000;-35960000;;-119500000;121747000;-57818000;-64706000;63929000;;63929000;;63929000;;50378000;50378000
AAWH;2265764;USD;2020;FY;2020-12-31;2021-03-11;2023-03-15;167790414;167790414;143732000;-82818000;60914000;-53067000;-53067000;;;7847000;-12986000;-12993000;-5139000;;-5139000;-18702000;-23841000;;-25439000;-25439000
AAWH;2265764;USD;2021;FY;2021-12-31;2022-03-11;2024-03-13;149434000;149434000;332381000;-196409000;135972000;-153176000;-116665000;;;-17204000;-63733000;-63989000;-80937000;;-80937000;-41720000;-122657000;;-122657000;-122657000
AAWH;2265764;USD;2022;FY;2022-12-31;2023-03-15;2024-03-13;183381000;183381000;405926000;-271363000;134563000;-142089000;-137089000;;;-7526000;-31680000;-32436000;-39206000;;-39206000;-41693000;-80899000;;-80899000;-80899000
AAWH;2265764;USD;2023;FY;2023-12-31;2024-03-13;2024-03-13;199154000;199154000;518590000;-363470000;155120000;-158739000;-158739000;;;-3619000;-11141000;-36984000;-14760000;;-14760000;-33454000;-48214000;;-48214000;-48214000
AAWW;762204;USD;2019;FY;2019-12-31;2020-02-24;2022-02-17;25828000;25828000;2739189000;-1465339000;1273850000;-811468000;;;-251097000;462382000;-86092000;-116034000;376290000;-849048000;-472758000;179645000;-293113000;;-293113000;-293113000
AAWW;762204;USD;2020;FY;2020-12-31;2021-02-18;2023-02-23;26408000;26690000;3211116000;-1684909000;1526207000;-725713000;;;-257672000;800494000;73108000;-113559000;873602000;-376860000;496742000;-136456000;360286000;;360286000;360286000
AAWW;762204;USD;2021;FY;2021-12-31;2022-02-17;2023-02-23;29023000;30547000;4030829000;-2221905000;1808924000;-756401000;;;-281209000;1052523000;-57748000;-106769000;994775000;-347384000;647391000;-154074000;493317000;;493317000;493317000
AAWW;762204;USD;2022;FY;2022-12-31;2023-02-23;2023-02-23;28463000;34190000;4549104000;-2896734000;1652370000;-801324000;;;-303220000;851046000;-60069000;-72937000;790977000;-329341000;461636000;-105756000;355880000;;355880000;355880000
ABBV;61199;USD;2019;FY;2019-12-31;2020-02-21;2022-02-18;1481000000;1484000000;33266000000;-7439000000;25827000000;-12459000000;-6942000000;-6407000000;;13368000000;-4557000000;-1509000000;8811000000;-385000000;8426000000;-544000000;7882000000;;7882000000;7882000000
ABBV;61199;USD;2020;FY;2020-12-31;2021-02-19;2023-02-17;1667000000;1673000000;45804000000;-15387000000;30417000000;-17678000000;-11299000000;-6379000000;;12739000000;-7965000000;-2280000000;4774000000;-1376000000;3398000000;1224000000;4622000000;;4616000000;4616000000
ABBV;61199;USD;2021;FY;2021-12-31;2022-02-18;2024-02-20;1767880465;1778000000;56197000000;-17446000000;38751000000;-19703000000;-12349000000;-6922000000;;19048000000;-4935000000;-2384000000;14113000000;-1124000000;12989000000;-1440000000;11549000000;;11542000000;11542000000
ABBV;61199;USD;2022;FY;2022-12-31;2023-02-17;2024-02-20;1771000000;1778000000;58054000000;-17414000000;40640000000;-21826000000;-15260000000;-6510000000;;18814000000;-4640000000;-2044000000;14174000000;-697000000;13477000000;-1632000000;11845000000;;11836000000;11836000000
ABBV;61199;USD;2023;FY;2023-12-31;2024-02-20;2024-02-20;1768000000;1773000000;54318000000;-20415000000;33903000000;-20368000000;-12872000000;-7675000000;;13535000000;-6507000000;-1684000000;7028000000;-778000000;6250000000;-1377000000;4873000000;;4863000000;4863000000
ABCL;1250893;USD;2019;FY;2019-12-31;2020-03-29;2022-02-25;151856754;191268368;11612000;;;-15729000;-4012000;-10113000;-1604000;-4117000;1906000;-54000;-2211000;;-2211000;;-2211000;;-2211000;-2211000
ABCL;1250893;USD;2020;FY;2020-12-31;2021-03-30;2023-02-21;269710975;370914779;233155000;;;-77124000;-15752000;-29393000;-4836000;156031000;1802000;-6518000;157833000;;157833000;-38915000;118918000;;118918000;118918000
ABCL;1250893;USD;2021;FY;2021-12-31;2022-02-25;2024-02-20;278933760;278933760;375203000;-45516000;329687000;-125274000;-48761000;-62062000;-14451000;204413000;14736000;3330000;219149000;;219149000;-65685000;153464000;;153464000;153464000
ABCL;1250893;USD;2022;FY;2022-12-31;2023-02-21;2024-02-20;285056606;314827255;485424000;-66436000;418988000;-202477000;-66755000;-107879000;-27843000;216511000;22588000;16079000;239099000;;239099000;-80580000;158519000;;158519000;158519000
ABCL;1250893;USD;2023;FY;2023-12-31;2024-02-20;2024-02-20;289166486;289166486;38025000;;;-275232000;-75179000;-175658000;-24395000;-237207000;63178000;42247000;-174029000;;-174029000;27631000;-146398000;;-146398000;-146398000
ABEO;953884;USD;2019;FY;2019-12-31;2020-03-16;2021-03-24;80567;80567;;;;-77090000;-20705000;-48566000;-7819000;-77090000;808000;808000;-76282000;;-76282000;;-76282000;;-76282000;-76282000
ABEO;953884;USD;2020;FY;2020-12-31;2021-03-24;2022-03-31;3706543;3706543;10000000;;;-58504000;-23779000;-30139000;-4586000;-48504000;-2814000;-2814000;-51318000;-32916000;-84234000;;-84234000;;-84234000;-84234000
ABEO;953884;USD;2021;FY;2021-12-31;2022-03-31;2023-03-29;3706543;3706543;3000000;;;-60370000;-21644000;-38726000;;-57370000;-3601000;-3616000;-60971000;-23965000;-84936000;;-84936000;;-84936000;-84936000
ABEO;953884;USD;2022;FY;2022-12-31;2023-03-29;2024-03-18;7861515;7861515;1414000;;;-46671000;-17256000;-28965000;;-45257000;-164000;-305000;-45421000;5725000;-39696000;;-39696000;;-39696000;-43478000
ABEO;953884;USD;2023;FY;2023-12-31;2024-03-18;2024-03-18;21380476;21380476;3500000;;;-51700000;-19004000;-31091000;;-48200000;4642000;1699000;-43558000;-10630000;-54188000;;-54188000;;-54188000;-54188000
ABG;545489;USD;2019;FY;2019-12-31;2020-03-02;2022-03-01;19100000;19300000;7210300000;-6041400000;1168900000;-836800000;-799800000;;-36200000;332100000;-92800000;-92800000;239300000;4600000;243900000;-59500000;184400000;;184400000;184400000
ABG;545489;USD;2020;FY;2020-12-31;2021-03-01;2023-03-01;19200000;19300000;7131800000;-5908400000;1223400000;-829600000;-781900000;;-38500000;393800000;-74500000;-74500000;319300000;18700000;338000000;-83800000;254200000;;254200000;254200000
ABG;545489;USD;2021;FY;2021-12-31;2022-03-01;2024-02-29;21700000;21800000;9837700000;-7935500000;1902200000;-1110400000;-1073900000;;-41900000;791800000;-102100000;-102100000;689700000;8000000;697700000;-165300000;532400000;;532400000;532400000
ABG;545489;USD;2022;FY;2022-12-31;2023-03-01;2024-02-29;22300000;22400000;15433900000;-12333300000;3100600000;-1828000000;-1763400000;;-69000000;1272600000;-160600000;-160600000;1112000000;207100000;1319100000;-321800000;997300000;;997300000;997300000
ABG;545489;USD;2023;FY;2023-12-31;2024-02-29;2024-02-29;20900000;21000000;14802700000;-12046900000;2755800000;-1685100000;-1617400000;;-67700000;1070700000;-165700000;-165700000;905000000;-103700000;801300000;-198800000;602500000;;602500000;602500000
ABIO;953886;USD;2019;FY;2019-12-31;2020-02-18;2021-03-18;1321234;1321234;;;;-5814000;-3981000;-1833000;;-5814000;165000;165000;-5649000;;-5649000;167000;-5482000;;-5482000;-5482000
ABIO;953886;USD;2020;FY;2020-12-31;2021-03-18;2022-03-14;4710237;4710237;;;;-9766000;-4774000;-4992000;;-9766000;19000;19000;-9747000;;-9747000;9000;-9738000;;-9738000;-9738000
ABIO;953886;USD;2021;FY;2021-12-31;2022-03-14;2023-02-24;14410143;14410143;;;;-19335000;-5503000;-13832000;;-19335000;13000;13000;-19322000;;-19322000;;-19322000;;-19322000;-19322000
ABIO;953886;USD;2022;FY;2022-12-31;2023-02-24;2024-02-01;14410143;14410143;4749000;;;5847000;5847000;;;10596000;-670000;-675000;9926000;;9926000;;9926000;;9926000;9926000
ABIO;953886;USD;2023;FY;2023-12-31;2024-02-01;2024-02-01;14415877;14415877;1013000;;;6283000;6283000;;;7296000;-1957000;-1957000;5339000;;5339000;;5339000;;5339000;5339000
ABM;199984;USD;2019;FY;2019-10-31;2019-12-20;2021-12-22;66600000;66900000;6498600000;-5767500000;731100000;-511400000;-452900000;;-58500000;219700000;-48100000;-51100000;171600000;-11200000;160400000;-32700000;127700000;-100000;127600000;127600000
ABM;199984;USD;2020;FY;2020-10-31;2020-12-17;2022-12-21;66900000;67300000;5987600000;-5157000000;830600000;-554500000;-506100000;;-48400000;276100000;-42400000;-44600000;233700000;-180400000;53300000;-53100000;200000;-100000;100000;100000
ABM;199984;USD;2021;FY;2021-10-31;2021-12-22;2023-12-18;67300000;67800000;6228600000;-5258200000;970400000;-764200000;-719200000;;-45000000;206200000;-26500000;-28600000;179700000;;179700000;-53500000;126200000;;126200000;126200000
ABMC;160965;USD;2019;FY;2019-12-31;2020-06-26;2021-04-15;32526669;32526669;3655000;-2471000;1184000;-1777000;-1695000;-82000;;-593000;-93000;-265000;-686000;;-686000;5000;-681000;;-681000;-681000
ABMC;160965;USD;2020;FY;2020-12-31;2021-04-15;2022-04-15;38859032;38859032;4147000;-2909000;1238000;-1859000;-1769000;-90000;;-621000;-173000;-175000;-794000;0;-794000;-2000;-796000;;-796000;-796000
ABMC;160965;USD;2021;FY;2021-12-31;2022-04-15;2023-03-21;35558105;35558105;2218000;-1670000;548000;-1727000;-1642000;-85000;;-1179000;-136000;-194000;-461338;854000;-461000;-2000;-463000;;-463000;-463000
ABMC;160965;USD;2022;FY;2022-12-31;2023-03-21;2023-03-21;48017654;48017654;913000;-1016000;-103000;-1139000;-1054000;-85000;;-1242000;-166000;-191000;-1408000;0;-1408000;-2000;-1410000;;-1410000;-1410000
ABMD;445587;USD;2018;FY;2019-03-31;2019-05-23;2021-05-21;44911000;46151000;769432000;-129567000;639865000;-415053000;-321550000;-93503000;;224812000;38548000;;263360000;;263360000;-4344000;259016000;;259016000;259016000
ABMD;445587;USD;2019;FY;2020-03-31;2020-05-21;2022-05-20;45179000;45816000;840883000;-151305000;689578000;-440359000;-341600000;-98759000;;249219000;7606000;;256825000;;256825000;-53816000;203009000;;203009000;203009000
ABMD;445587;USD;2020;FY;2021-03-31;2021-05-21;2022-05-20;45140000;45674000;847522000;-161907000;685615000;-456058000;-334183000;-121875000;;229557000;58663000;;288220000;;288220000;-62695000;225525000;;225525000;225525000
ABMD;445587;USD;2021;FY;2022-03-31;2022-05-20;2022-05-20;45445000;45881000;1031753000;-188158000;843595000;-586889000;-423486000;-163403000;;256706000;49840000;;306546000;-115986000;190560000;-54055000;136505000;;136505000;136505000
ABML;11795344;USD;2019;FY;2019-09-30;2019-12-27;2020-11-16;7533677;7533677;;;;-1394637;-1071269;-323368;;-1394637;-1104240;-1100494;-2498877;23633;-2475244;;-2475244;;-2475244;-2475244
ABML;11795344;USD;2020;FY;2020-09-30;2020-09-28;2021-11-15;7533677;7533677;;;;-2413093;-2306296;-106797;;-2413093;-1576663;-1576663;-3989756;838547;-3151209;;-3151209;;-3151209;-3151209
ABML;11795344;USD;2021;FY;2021-09-30;2021-11-15;2022-11-14;43202414;7533677;;;;-19987286;-19690639;-296647;;-19987286;14000;;-19973286;;-19973286;;-19973286;;-19973286;-19973286
ABML;11795344;USD;2022;FY;2022-09-30;2022-09-12;2023-11-14;43202414;7533677;;;;-2577136;-2008167;-568969;;-2577136;38343;;-2538793;104339;-2434454;;-2434454;;-2434454;-2434454
ABML;11795344;USD;2023;FY;2023-09-30;2023-09-28;2023-11-14;44348562;44348562;;;;-6383942;-2948846;-3435096;;-6383942;-134989;-134989;-6518931;-713054;-7231985;;-7231985;;-7231985;-7231985
ABNB;1214552;USD;2019;FY;2019-12-31;2020-02-26;2022-02-25;262509000;262509000;4805239000;-1196313000;3608926000;-4110469000;-2318700000;-976695000;;-501543000;89840000;75934000;-411703000;;-411703000;-262636000;-674339000;;-674339000;-674339000
ABNB;1214552;USD;2020;FY;2020-12-31;2021-02-26;2023-02-17;601021000;601021000;3378000000;-876000000;2502000000;-5941000000;-2310000000;-2753000000;;-3439000000;-1092000000;-145000000;-4531000000;-151000000;-4682000000;97000000;-4585000000;;-4585000000;-4585000000
ABNB;1214552;USD;2021;FY;2021-12-31;2022-02-25;2024-02-16;621012000;681916000;5992000000;-1156000000;4836000000;-4294000000;-2022000000;-1425000000;;542000000;-729000000;-425000000;-187000000;-113000000;-300000000;-52000000;-352000000;;-352000000;-352000000
ABNB;1214552;USD;2022;FY;2022-12-31;2023-02-17;2024-02-16;615891000;615891000;8399000000;-1499000000;6900000000;-5009000000;-2466000000;-1502000000;;1891000000;187000000;162000000;2078000000;-89000000;1989000000;-96000000;1893000000;;1893000000;1893000000
ABNB;1214552;USD;2023;FY;2023-12-31;2024-02-16;2024-02-16;635000000;665000000;9917000000;-1703000000;8214000000;-6696000000;-3788000000;-1722000000;;1518000000;584000000;638000000;2102000000;;2102000000;2690000000;4792000000;;4792000000;4792000000
ABOS;12444265;USD;2020;FY;2020-12-31;2021-03-28;2022-03-28;38651795;38651795;1436000;;;-9348000;-1351000;-7997000;;-7912000;1000;1000;-7911000;586000;-7325000;;-7325000;;-7325000;-7325000
ABOS;12444265;USD;2021;FY;2021-12-31;2022-03-28;2023-03-27;20057534;20057534;;;;-19584000;-7279000;-12305000;;-19584000;135000;84000;-19449000;-81157000;-100606000;;-100606000;;-100606000;-100606000
ABOS;12444265;USD;2022;FY;2022-12-31;2023-03-27;2024-03-26;40601936;40601936;;;;-45237000;-12876000;-32361000;;-45237000;2381000;2392000;-42856000;;-42856000;;-42856000;;-42856000;-42856000
ABOS;12444265;USD;2023;FY;2023-12-31;2024-03-26;2024-03-26;48609383;48609383;;;;-61138000;-18820000;-42318000;;-61138000;10127000;10210000;-51011000;-1360000;-52371000;;-52371000;;-52371000;-52371000
ABR;638468;USD;2019;FY;2019-12-31;2020-02-14;2022-02-18;92851327;116192951;350170000;-122102000;228068000;-58059000;-40329000;;-7510000;171187000;10635000;;181822000;-11548000;170274000;-15036000;155238000;;128628000;121074000
ABR;638468;USD;2020;FY;2020-12-31;2021-02-19;2023-02-17;113811471;133969296;339465000;-169216000;170249000;-194266000;-37348000;;-7640000;-24017000;322594000;;298577000;-138188000;160389000;-40393000;196157000;;170949000;163395000
ABR;638468;USD;2021;FY;2021-12-31;2022-02-18;2024-02-20;113811471;133969296;328896000;;;28148000;-45575000;;-7215000;357044000;7566000;;364610000;24915000;389525000;-46285000;377807000;;339300000;317412000
ABR;638468;USD;2022;FY;2022-12-31;2023-02-17;2024-02-20;165355167;199112630;482976000;;;-99644000;-53990000;;-8732000;383332000;-17563000;;365769000;-8705000;357064000;-17484000;353827000;;325783000;284829000
ABR;638468;USD;2023;FY;2023-12-31;2024-02-20;2024-02-20;184641642;218843613;558440000;;;-78546000;-51260000;;-9743000;479894000;7667000;;487561000;-83939000;403622000;-27347000;400556000;;371434000;330065000
ABSI;1250894;USD;2020;FY;2020-12-31;2021-03-22;2022-03-22;16983727;16983727;4780000;;;-18081000;-5502000;-11448000;-1131000;-13301000;-1052000;-634000;-14353000;;-14353000;;-14353000;;-14353000;-49469000
ABSI;1250894;USD;2021;FY;2021-12-31;2022-03-22;2023-03-30;90375022;90375022;4782000;;;-80020000;-28780000;-44586000;-6654000;-75238000;-34621000;-3432000;-109859000;;-109859000;8899000;-100960000;;-100960000;-103244000
ABSI;1250894;USD;2022;FY;2022-12-31;2023-03-30;2024-03-21;90845629;90845629;5747000;;;-112497000;-40552000;-58908000;-13037000;-106750000;1385000;-972000;-105365000;;-105365000;461000;-104904000;;-104904000;-104904000
ABSI;1250894;USD;2023;FY;2023-12-31;2024-03-21;2024-03-21;92028016;92028016;5718000;;;-99898000;-37832000;-48067000;-13999000;-94180000;5049000;-1010000;-89131000;-21335000;-110466000;-100000;-110566000;;-110566000;-110566000
ABT;63877;USD;2019;FY;2019-12-31;2020-02-21;2022-02-18;1768000000;1781000000;31904000000;-13231000000;18673000000;-14141000000;-9765000000;-2440000000;-1936000000;4532000000;-392000000;-576000000;4140000000;-63000000;4077000000;-390000000;3687000000;;3687000000;3687000000
ABT;63877;USD;2020;FY;2020-12-31;2021-02-19;2023-02-17;1773000000;1786000000;34608000000;-15003000000;19605000000;-14248000000;-9696000000;-2420000000;-2132000000;5357000000;-389000000;-500000000;4968000000;;4968000000;-497000000;4471000000;24000000;4495000000;4495000000
ABT;63877;USD;2021;FY;2021-12-31;2022-02-18;2024-02-16;1768286969;1782000000;43075000000;-18537000000;24538000000;-16113000000;-11324000000;-2742000000;-2047000000;8425000000;-214000000;-490000000;8211000000;;8211000000;-1140000000;7071000000;;7071000000;7071000000
ABT;63877;USD;2022;FY;2022-12-31;2023-02-17;2024-02-16;1771230274;1786000000;43653000000;-19142000000;24511000000;-16149000000;-11248000000;-2888000000;-2013000000;8362000000;-56000000;-375000000;8306000000;;8306000000;-1373000000;6933000000;;6933000000;6933000000
ABT;63877;USD;2023;FY;2023-12-31;2024-02-16;2024-02-16;1740000000;1749000000;40109000000;-17975000000;22134000000;-15656000000;-10949000000;-2741000000;-1966000000;6478000000;186000000;-252000000;6664000000;;6664000000;-941000000;5723000000;;5723000000;5723000000
ABTL;445589;USD;2019;FY;2019-12-31;2020-03-27;2021-03-11;13070898;13070898;113981000;-91412000;22569000;-37907000;-24687000;;-4371000;-15338000;119000;-410000;-15219000;;-15219000;-10000;-15229000;;-15229000;-15229000
ABTL;445589;USD;2020;FY;2020-12-31;2021-03-11;2022-03-24;13144314;13144314;76570000;-52890000;23680000;-29204000;-20919000;;-1711000;-5524000;-1286000;-1524000;-6810000;;-6810000;-10000;-6820000;;-6820000;-6820000
ABTL;445589;USD;2021;FY;2021-12-31;2022-03-24;2022-03-24;13115384;13115384;71585000;-51254000;20331000;-26796000;-20494000;;-653000;-6465000;806000;-1011000;-5659000;;-5659000;;-5659000;;-5659000;-5659000
ABUS;953888;USD;2019;FY;2019-12-31;2020-03-05;2021-03-04;57093454;57093454;6011000;;;-77356000;-17727000;-57601000;-2028000;-71345000;44000;3000;-71301000;-95078000;-166379000;12656000;-153723000;;-153723000;-164872000
ABUS;953888;USD;2020;FY;2020-12-31;2021-03-04;2022-03-03;75835378;75835378;6914000;;;-64183000;-14845000;-49338000;;-57269000;-5939000;-3270000;-63208000;-537000;-63745000;;-63745000;;-63745000;-75868000
ABUS;953888;USD;2021;FY;2021-12-31;2022-03-03;2023-03-02;101286351;101286351;10988000;;;-82638000;-17136000;-65502000;;-71650000;-2725000;-2730000;-74375000;-1872000;-76247000;;-76247000;;-76247000;-88386000
ABUS;953888;USD;2022;FY;2022-12-31;2023-03-02;2024-03-05;150939337;150939337;39019000;;;-102242000;-17834000;-84408000;;-63223000;444000;466000;-62779000;-2233000;-65012000;-4444000;-69456000;;-69456000;-69456000
ABUS;953888;USD;2023;FY;2023-12-31;2024-03-05;2024-03-05;165960379;165960379;18141000;;;-96175000;-22475000;-73700000;;-78034000;5254000;5229000;-72780000;-69000;-72849000;;-72849000;;-72849000;-72849000
ABVC;15112453;USD;2022;FY;2022-12-31;2023-03-31;2024-03-13;3166460;3015348;969783;-286415;683368;-15797780;-6067545;-2693457;;-15114412;-290059;-106151;-15404471;-110125;-15514596;-797778;-16312374;;-16423239;-16423239
ABVC;15112453;USD;2023;FY;2023-12-31;2024-03-13;2024-03-13;4335650;4335650;152430;-302037;-149607;-8066902;-5368278;-1062916;;-8216509;-2215885;-2307859;-10432394;-221888;-10654282;-256006;-10910288;;-10515656;-10515656
AC;919941;USD;2019;FY;2019-12-31;2020-03-16;2021-03-24;22475000;22475000;22205000;;;-29752000;-23810000;;;-7547000;12998000;12998000;5451000;51772000;57223000;-12627000;44596000;-1890000;39188000;39188000
AC;919941;USD;2020;FY;2020-12-31;2021-03-24;2022-03-17;22274000;22274000;18983000;;;-31452000;;;;-12469000;45359000;8495000;32890000;-3007000;29883000;-9374000;20509000;-632000;18816000;18816000
AC;919941;USD;2021;FY;2021-12-31;2022-03-17;2023-03-16;22059000;22059000;20924000;-24457000;-3533000;-15543000;;;;-19076000;11799000;11799000;-7277000;88616000;81339000;-17705000;63634000;;59203000;59203000
AC;919941;USD;2022;FY;2022-12-31;2023-03-16;2024-03-21;22024000;22024000;15228000;-18883000;-3655000;-7607000;;;;-11262000;10437000;10437000;-825000;-59640000;-60465000;14943000;-45522000;;-48907000;-48907000
AC;919941;USD;2023;FY;2023-12-31;2024-03-21;2024-03-21;21771;21771;12683000;-17246000;-4563000;-12384000;;;;-16947000;24796000;24796000;7849000;39016000;46865000;-9137000;37728000;;37451000;37451000
ACA;919864;USD;2019;FY;2019-12-31;2020-02-27;2022-02-24;47900000;48400000;1736900000;-1404500000;332400000;-179500000;-179500000;;;152900000;-6100000;-6800000;146800000;;146800000;-33500000;113300000;;113300000;113300000
